input_0,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,input_11,input_12,input_13,input_14,input_15,input_16,input_17,input_18,input_19,decimal,divide_by_4,divide_by_6,divide_by_9
1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1003633,0,0,0
0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,349801,0,0,0
1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,625564,1,0,0
0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,337320,1,1,1
0,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,341609,0,0,0
0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,173140,1,0,0
0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,306191,0,0,0
1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,992038,0,0,0
1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,808075,0,0,0
1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,934076,1,0,0
1,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,570865,0,0,0
1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,595396,1,0,0
1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,743310,0,1,1
1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1033638,0,1,0
0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,56654,0,0,0
1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,576123,0,0,0
0,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,452263,0,0,0
0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,95499,0,0,1
0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,1,0,142222,0,0,0
0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,514578,0,1,0
1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,554793,0,0,0
0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,84107,0,0,0
1,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,766207,0,0,0
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,559233,0,0,1
0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,181490,0,0,0
0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,310420,1,0,0
1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,882501,0,0,0
1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,664423,0,0,0
1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,726194,0,0,0
1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,621017,0,0,0
0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,184278,0,1,0
1,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,764229,0,0,0
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,360467,0,0,0
1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1024573,0,0,0
1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,858399,0,0,0
1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,646369,0,0,0
1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,1,0,879446,0,0,0
1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,759301,0,0,0
1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,791902,0,0,0
1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,730175,0,0,0
0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,437242,0,0,0
0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,203037,0,0,0
1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,978550,0,0,0
1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1039663,0,0,0
0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,294599,0,0,0
1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,846326,0,0,0
1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1007869,0,0,0
0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,485861,0,0,0
1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,575133,0,0,0
0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,266045,0,0,0
0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,197254,0,0,0
0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,221541,0,0,0
1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,790803,0,0,1
0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,11391,0,0,0
1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,540423,0,0,1
0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,126117,0,0,1
0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,498470,0,0,0
1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,690183,0,0,1
0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,34701,0,0,0
0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,378913,0,0,0
0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,504354,0,1,0
1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,999932,1,0,0
0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,333453,0,0,0
1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,704153,0,0,0
0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0,28234,0,0,0
1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,1,1004317,0,0,0
0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,141217,0,0,0
1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,958669,0,0,0
0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,302535,0,0,1
0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,485781,0,0,0
0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,277678,0,0,0
0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,223542,0,1,1
0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,137740,1,0,0
1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,991536,1,1,0
1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,637082,0,0,0
0,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,465131,0,0,0
0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,509567,0,0,0
1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,556494,0,1,0
1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,986770,0,0,0
0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,346651,0,0,0
1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,860045,0,0,0
1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,935001,0,0,1
1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,1,840609,0,0,1
1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,942180,1,1,0
1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,833552,1,0,0
0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,375843,0,0,0
0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,414924,1,1,0
0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,30837,0,0,0
0,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,365493,0,0,0
1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,978550,0,0,0
1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,1,0,1,1005261,0,0,0
1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1001354,0,0,0
0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,146443,0,0,0
1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,942511,0,0,0
0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,356647,0,0,0
0,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,1,218827,0,0,0
0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,386702,0,0,0
1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,1,1,831911,0,0,0
0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,519540,1,1,0
1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,561977,0,0,0
0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,70075,0,0,0
1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,873017,0,0,0
1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,571210,0,0,0
1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,539141,0,0,0
1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1041091,0,0,0
1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,828192,1,1,0
1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,912810,0,1,0
1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,977475,0,0,0
1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,727172,1,0,0
0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,231996,1,1,0
1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,803450,0,0,0
1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,561734,0,0,0
1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,902661,0,0,0
1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,752795,0,0,0
0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,0,246710,0,0,0
1,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,1,1,1,869743,0,0,0
1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,861175,0,0,0
1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,923027,0,0,0
1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,937050,0,1,0
0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,433215,0,0,1
0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,78471,0,0,1
0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,295719,0,0,0
0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,438545,0,0,0
1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,651275,0,0,0
1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,716265,0,0,1
0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,332214,0,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,16461,0,0,1
0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,491740,1,0,0
0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,322567,0,0,0
0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,508319,0,0,0
0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,260736,1,1,0
1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,654046,0,0,0
1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,631568,1,0,0
0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,488050,0,0,0
0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,484930,0,0,0
1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1016821,0,0,0
0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,276741,0,0,1
1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,748559,0,0,0
1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,794516,1,0,0
1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,606695,0,0,0
1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,959139,0,0,1
1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,657730,0,0,0
1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,978146,0,0,0
1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,929706,0,1,0
1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,629948,1,0,0
1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,883388,1,0,0
1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,688758,0,1,0
0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,239921,0,0,0
0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,78735,0,0,0
1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,843015,0,0,0
0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,403527,0,0,0
1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,965892,1,1,0
1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,727943,0,0,0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,262441,0,0,0
1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,837730,0,0,0
0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,502437,0,0,0
0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,428634,0,1,1
0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,490141,0,0,0
0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,98965,0,0,0
0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,80021,0,0,0
0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,327174,0,1,0
1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,836757,0,0,1
0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,168972,1,1,0
1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,726534,0,1,1
0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,9144,1,1,1
0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,311854,0,0,0
1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0,705774,0,1,0
1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,971748,1,1,1
0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,404720,1,0,0
1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,601296,1,1,0
1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,744151,0,0,0
1,0,0,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,604888,1,0,0
0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,467395,0,0,0
0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1,447303,0,0,0
1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,616103,0,0,0
0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,214278,0,1,0
1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,982848,1,1,0
1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,978997,0,0,0
1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,689785,0,0,0
1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,986835,0,0,0
0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,100683,0,0,1
0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,254876,1,0,0
1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,709979,0,0,0
1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,670717,0,0,0
1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,0,571998,0,1,0
0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0,220380,1,1,0
0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,351756,1,1,1
1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,586985,0,0,0
0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,490667,0,0,0
1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,553531,0,0,0
0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,20430,0,1,1
0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,407636,1,0,0
0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,321401,0,0,0
1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,843778,0,0,0
1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,535600,1,0,0
1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,630894,0,1,0
0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,90549,0,0,1
1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,675844,1,0,0
1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,743827,0,0,0
0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,33155,0,0,0
0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,255517,0,0,0
0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,340639,0,0,0
1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,836064,1,1,1
0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,18209,0,0,0
1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,991697,0,0,0
1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,706111,0,0,0
0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,37390,0,0,0
0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,103052,1,0,0
1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,922358,0,0,0
1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,969841,0,0,0
0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,102766,0,0,0
0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,228040,1,0,0
0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,49249,0,0,0
1,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,588196,1,0,0
1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,961019,0,0,0
0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,186575,0,0,0
0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,280106,0,0,0
0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,81917,0,0,0
0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1,0,1,347733,0,0,1
1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,952547,0,0,0
1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,556596,1,1,1
0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,237433,0,0,0
0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,184994,0,0,0
0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,189078,0,1,0
1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,590015,0,0,0
1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,825968,1,0,0
1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,594740,1,0,0
1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,612017,0,0,0
1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,835526,0,0,0
0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,52169,0,0,0
0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,413906,0,0,0
0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,428459,0,0,0
0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,329535,0,0,1
1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1016530,0,0,0
1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,975625,0,0,0
0,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,355555,0,0,0
0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,1,348603,0,0,0
0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,45882,0,1,1
0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,361812,1,1,0
0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,268275,0,0,0
1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0,911094,0,1,0
1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,724091,0,0,0
1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,819672,1,1,0
0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,253509,0,0,0
0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,103578,0,1,0
0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,336654,0,1,1
0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,127721,0,0,0
1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,541669,0,0,0
0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,136518,0,1,0
0,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,422305,0,0,0
0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,85165,0,0,0
1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,862353,0,0,1
0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,64022,0,0,0
1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,653387,0,0,0
1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,573181,0,0,0
0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,8184,1,1,0
0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,24762,0,1,0
1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,664310,0,0,0
1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,969011,0,0,0
0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,34955,0,0,0
1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1041022,0,0,0
0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,251492,1,0,0
1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,1044885,0,0,0
0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,263719,0,0,0
1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,634904,1,0,0
0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,171073,0,0,0
1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,631797,0,0,0
0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,44113,0,0,0
0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,496236,1,1,0
1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,565711,0,0,0
1,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,1,712233,0,0,1
0,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,444344,1,0,0
0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,179273,0,0,0
0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,330144,1,1,0
0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,118394,0,0,0
0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,232836,1,1,0
1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,643872,1,1,0
0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,166813,0,0,0
0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,365642,0,0,0
0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,41439,0,0,0
0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,210290,0,0,0
1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,917205,0,0,0
1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,604470,0,1,0
